company_name,status,size,suburb/town,state,ABN,URL
Peregian Beach Surf Club Incorporated,"
            Registered          ","
            Information Unavailable          ","
            Noosaville          ","
            QLD          ",70949235419,https://www.acnc.gov.au/charity/bbeffae8c3ab796c63983fab0fec5980
Red Rock - Corindi Surf Club Fundraising Committee,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",43503761725,https://www.acnc.gov.au/charity/8ca891d54c864b070edc32d778c86f9a
Canberra Surf And Lake Club,"
            Registered          ","
            Small          ","
            Hughes          ","
            ACT          ",95252260215,https://www.acnc.gov.au/charity/688b522c2de881554ac7a9a8ef68e3d9
Cairns Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Palm Cove          ","
            QLD          ",73096592269,https://www.acnc.gov.au/charity/7e1c8de360a286476b630ef4e271dfca
Albany Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Albany          ","
            WA          ",57657202934,https://www.acnc.gov.au/charity/d1b13eeb1423b79d003ac01b19e92db4
Austinmer Surf Lifesaving Club Incorporated,"
            Registered          ","
            Medium          ","
            Austinmer          ","
            NSW          ",57984732704,https://www.acnc.gov.au/charity/92c444ba803273cc7b3f7308a58a1fc0
Brighton Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Brighton          ","
            SA          ",28628975864,https://www.acnc.gov.au/charity/8eefcc315520d711301cee1ede0c2bd6
Busselton Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Busselton          ","
            WA          ",84771730359,https://www.acnc.gov.au/charity/53b94cdfeede38ef881fa5f4913e280a
Coledale Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Coledale          ","
            NSW          ",99892725133,https://www.acnc.gov.au/charity/f0de552185c435f27b57d3d50a6d184f
Floreat Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            City Beach          ","
            WA          ",65092996799,https://www.acnc.gov.au/charity/9d692fc2f5d55c79b74d347094ea5b61
Freshwater Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Freshwater          ","
            NSW          ",15606956393,https://www.acnc.gov.au/charity/87de8a21dcd6e84bbd0ad0f0b601577c
Gunnamatta Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Fingal          ","
            VIC          ",43964186861,https://www.acnc.gov.au/charity/fe70f07ac33878f90057f8ec21524f25
Kurrawa Surf Life Saving Club,"
            Registered          ","
            Large          ","
            Broadbeach          ","
            QLD          ",36275406288,https://www.acnc.gov.au/charity/60b9c3477b281e3a38146ad909c6de7b
Mandurah Surf Lifesaving Club (Inc),"
            Registered          ","
            Small          ","
            Mandurah          ","
            WA          ",11166136776,https://www.acnc.gov.au/charity/6cfad8fbc18e8d30ba86dbd14702ffb6
Maroochydore Surf Lifesaving Club Inc,"
            Registered          ","
            Large          ","
            Information Unavailable          ","
            Information Unavailable          ",11229540191,https://www.acnc.gov.au/charity/431505464f1fcf0bba0fcc2a60dcd757
Newcastle Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Information Unavailable          ","
            Information Unavailable          ",42366587308,https://www.acnc.gov.au/charity/0e4810ae68c022c9f807726b8a002e4f
Rainbow Beach Surf Lifesaving Club,"
            Registered          ","
            Medium          ","
            Rainbow Beach          ","
            QLD          ",79300618601,https://www.acnc.gov.au/charity/541efd0756bff3b7a4df48f776a6381f
Sarina Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Sarina Beach          ","
            QLD          ",64221537105,https://www.acnc.gov.au/charity/0b068c8d0a4a37b2b320405dcaac0d80
Toowoon Bay Surf Lifesaving Club,"
            Registered          ","
            Medium          ","
            Toowoon Bay          ","
            NSW          ",58960471011,https://www.acnc.gov.au/charity/1d9472c762e2bcd6e35b648ca04baa72
Urunga Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Urunga          ","
            NSW          ",28198791026,https://www.acnc.gov.au/charity/a82651b717b2e19867c7caa021c48e73
Yeppoon Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Yeppoon          ","
            QLD          ",99103215707,https://www.acnc.gov.au/charity/88bc89e2ad0d04d15a3f65410d2f091c
Black Head Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Black Head          ","
            NSW          ",39153927691,https://www.acnc.gov.au/charity/d5e9de3557c6b93e5b0a0e4453611088
Helensburgh Stanwell Park Surf Lifesaving Club Incorporated,"
            Registered          ","
            Small          ","
            Stanwell Park          ","
            NSW          ",92267821862,https://www.acnc.gov.au/charity/b2ccb78f801d339ba068e22617597eac
PENGUIN SURF LIFE SAVING CLUB INC.,"
            Registered          ","
            Information Unavailable          ","
            Preservation Bay          ","
            TAS          ",23219678408,https://www.acnc.gov.au/charity/f825374b675c5205927bd906d5ca4b7b
Tamarama Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Tamarama          ","
            NSW          ",44608168834,https://www.acnc.gov.au/charity/abde7c49e2f03f45c280fb1ed88cbe23
Northcliffe Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Surfers Paradise          ","
            QLD          ",63251188527,https://www.acnc.gov.au/charity/2c322ea2bf6d81fc649edb1701f6feb2
Agnes Water Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Agnes Water          ","
            QLD          ",45845287332,https://www.acnc.gov.au/charity/f54f81ce75d19c528279511db7c95ed7
Alkimos Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Alkimos          ","
            WA          ",78406571985,https://www.acnc.gov.au/charity/cfb503641271bde2b9ad6169014e583f
Arcadian Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Townsville          ","
            QLD          ",31184268117,https://www.acnc.gov.au/charity/7290b849ac14edb774f21bd430f3aaa5
Avoca Beach Surf Life Saving Club Inc.,"
            Registered          ","
            Large          ","
            Avoca Beach          ","
            NSW          ",76358503029,https://www.acnc.gov.au/charity/44332b6549b0a003b4743c36ebdde1bd
Warriewood Surf Club Fundraising Committee,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",37708751368,https://www.acnc.gov.au/charity/a3795c90d87911891dade65f83bb84a9
Devonport Surf Lifesaving Club,"
            Registered          ","
            Small          ","
            Devonport          ","
            TAS          ",18158180993,https://www.acnc.gov.au/charity/6dff402a119ee3a9ad3280b2bcccbd32
Somerset Surf Lifesaving Club,"
            Registered          ","
            Small          ","
            Somerset          ","
            TAS          ",82684212685,https://www.acnc.gov.au/charity/a1d8b83b57ec657eaf3692814a92a867
Port Bouvard Surf Lifesaving Club,"
            Registered          ","
            Medium          ","
            Mandurah          ","
            WA          ",68400951810,https://www.acnc.gov.au/charity/3ca95931210024cc91daa23645a3c8a0
Anglesea Surf Lifesaving Club Inc.,"
            Registered          ","
            Large          ","
            Anglesea          ","
            VIC          ",14544659974,https://www.acnc.gov.au/charity/a6dcf5d19a0be79cb4cafa0992c7ec9e
Bilgola Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Bilgola          ","
            NSW          ",64566803132,https://www.acnc.gov.au/charity/776381713ae9deba1566fb1e13ac771d
Brunswick Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Information Unavailable          ","
            Information Unavailable          ",95760856051,https://www.acnc.gov.au/charity/1d10b0385c81b51bb3d8b2f1c7ed7776
Coalcliff Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Coalcliff          ","
            NSW          ",63802218616,https://www.acnc.gov.au/charity/f1b771122da25be10e82affc5306b77a
Copacabana Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Copacabana          ","
            NSW          ",74274870207,https://www.acnc.gov.au/charity/93029af456b86a92b0606462e8e59398
Forster Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Forster          ","
            NSW          ",93595891528,https://www.acnc.gov.au/charity/967cb8c1ccb5ab2eaef953d97548620e
Geraldton Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Mahomets Flats          ","
            WA          ",83976723238,https://www.acnc.gov.au/charity/c0e38a4db65077a14786ca416a869b81
Inverloch Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Inverloch          ","
            VIC          ",81679868651,https://www.acnc.gov.au/charity/069e4f031dec0b2384a4ec21888c991a
Mallacoota Surf Lifesaving Club incorporated,"
            Registered          ","
            Information Unavailable          ","
            Mallacoota          ","
            VIC          ",93661163132,https://www.acnc.gov.au/charity/876432e3623e89e4426f57d1fd131aa6
Marcoola Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Marcoola          ","
            QLD          ",12214510181,https://www.acnc.gov.au/charity/b630b55d0ce001fd100e3f6a4b343d52
Merewether Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Merewether          ","
            NSW          ",70957910935,https://www.acnc.gov.au/charity/bce81c10b588f32b7fd9530e294cb1b9
Queenscliff Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Manly          ","
            NSW          ",43405483291,https://www.acnc.gov.au/charity/2f65870ca3d5bc9850eb3dcb530e9f57
Redhead Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Redhead          ","
            NSW          ",25386231109,https://www.acnc.gov.au/charity/340f674068dce72f977a1c6a2c527ddd
Tallebudgera Surf Lifesaving Club Inc,"
            Registered          ","
            Large          ","
            Palm Beach          ","
            QLD          ",45175889400,https://www.acnc.gov.au/charity/a99d67f6b8c765fec1e6157f2e1fcb91
Torquay Surf Lifesaving Club Inc.,"
            Registered          ","
            Medium          ","
            Torquay          ","
            VIC          ",95834027136,https://www.acnc.gov.au/charity/56fa4dd80b061dfac9c41b0db87fe1c1
Wye River Surf Lifesaving Club,"
            Registered          ","
            Small          ","
            Wye River          ","
            VIC          ",25294896448,https://www.acnc.gov.au/charity/a646b90688b23471b774230d18a5017f
Alexandra Headland Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Alexandra Headland          ","
            QLD          ",67688394718,https://www.acnc.gov.au/charity/b4f4b25bc00ea4536125816c9ba0e9d5
Corrimal Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            East Corrimal          ","
            NSW          ",46968514791,https://www.acnc.gov.au/charity/0449f42b4924f94f55b6093f17b503a8
NARRABEEN BEACH SURF LIFESAVING CLUB INC,"
            Registered          ","
            Small          ","
            Narrabeen          ","
            NSW          ",98899009259,https://www.acnc.gov.au/charity/56d5f9c839069b6fb7660af0ed37228f
Sorrento Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Sorrento          ","
            VIC          ",21543847781,https://www.acnc.gov.au/charity/55a447a12b127df42a8c1cae5f18e422
Batemans Bay Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Surf Beach          ","
            NSW          ",55189205693,https://www.acnc.gov.au/charity/fcec1a8c3482090a9901741c62e28c95
Surfers Paradise Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Surfers Paradise          ","
            QLD          ",83390315675,https://www.acnc.gov.au/charity/a8dc6fddd150a20b53ddc6037d448612
Aldinga Bay Surf Lifesaving Club Inc.,"
            Registered          ","
            Medium          ","
            Aldinga Beach          ","
            SA          ",62263545980,https://www.acnc.gov.au/charity/5d42056aabacaa3aa2a48372a3abec25
Apollo Bay Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Apollo Bay          ","
            VIC          ",61579241354,https://www.acnc.gov.au/charity/fce2d82744caa559126a25d4b58fc717
Avalon Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Avalon Beach          ","
            NSW          ",81096313417,https://www.acnc.gov.au/charity/ec19442066cdc3e0a09a88e29e483576
Ayr Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Alva          ","
            QLD          ",32462966053,https://www.acnc.gov.au/charity/d85cbe6bfeca148e5d335971417e654c
Bancoora Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Ocean Grove          ","
            VIC          ",65095505705,https://www.acnc.gov.au/charity/24452963533edc793dbf16082c64b002
Bellambi Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Bellambi          ","
            NSW          ",31559131560,https://www.acnc.gov.au/charity/cc640b7d7f0b08700a634704773e8c9c
Bilinga Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Bilinga          ","
            QLD          ",81501062911,https://www.acnc.gov.au/charity/ccd0bcfe59b70dbdee6ae193995965e0
Birubi Point Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Anna Bay          ","
            NSW          ",67616021024,https://www.acnc.gov.au/charity/17a5758aa73d20f1d63e8e0a9b6f87fa
Bondi Surf Bathers Life Savings Club Incorporated,"
            Registered          ","
            Medium          ","
            Bondi Beach          ","
            NSW          ",78306614913,https://www.acnc.gov.au/charity/cf0bdf281149856832382140134bf994
Bribie Island Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Woorim          ","
            QLD          ",48234084106,https://www.acnc.gov.au/charity/6ef0928b4486d2bd9486ee03dc8fb852
Broadbeach Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Broadbeach          ","
            QLD          ",67470166019,https://www.acnc.gov.au/charity/f60ba00a217b02ed41bcd0102f809daa
Broome Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Cable Beach          ","
            WA          ",69552813093,https://www.acnc.gov.au/charity/7308e8c7cc00f904eef959182321d442
Bundaberg Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Bargara          ","
            QLD          ",67054869018,https://www.acnc.gov.au/charity/6871c95d76fffb915ca6ae641643e7ba
Burnie Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Burnie          ","
            TAS          ",20690531660,https://www.acnc.gov.au/charity/373077fdca69041191a97d384f5e6aca
Byron Bay Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Byron Bay          ","
            NSW          ",91080651679,https://www.acnc.gov.au/charity/5e7cdcd8a2dc492d9beec1247bd5eba9
Camden Haven Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            North Haven          ","
            NSW          ",62004921825,https://www.acnc.gov.au/charity/4e75ea719f1b48fa4280ab4fbdfddd0a
Cape Paterson Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Camberwell          ","
            VIC          ",78434245204,https://www.acnc.gov.au/charity/9166fedb865477bc4d0d022491d61874
Carrum Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Carrum          ","
            VIC          ",66265342567,https://www.acnc.gov.au/charity/d7073e32eadd9f2b8d3228dc619c1ec7
Champion Bay Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Geraldton          ","
            WA          ",46572419623,https://www.acnc.gov.au/charity/48ccc1e4ac747d41f5cac65e539a9cc0
Chiton Rocks Surf Lifesaving Club Inc,"
            Registered          ","
            Large          ","
            Chiton          ","
            SA          ",62902946739,https://www.acnc.gov.au/charity/2062843f3b036553ae67b4877e05b2e3
City Of Bunbury Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Bunbury          ","
            WA          ",49959694957,https://www.acnc.gov.au/charity/cbbfcde902f508ecbff60c2e6bf57ffa
Clifton Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Clifton Beach          ","
            TAS          ",95273665453,https://www.acnc.gov.au/charity/6f6d8065dade20f5c295ddec45bea3d0
Coffs Harbour Surf Life Saving Club Ltd,"
            Registered          ","
            Medium          ","
            Coffs Harbour          ","
            NSW          ",54002880346,https://www.acnc.gov.au/charity/5d6d45f63b9b1a9efdb0f8d1abc1dc12
Coogee Beach Surf Lifesaving Club Inc,"
            Registered          ","
            Large          ","
            Munster          ","
            WA          ",52780565587,https://www.acnc.gov.au/charity/d09f492692c902856d74c1146a7e5a3e
Cooks Hill Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Bar Beach          ","
            NSW          ",17023819760,https://www.acnc.gov.au/charity/9210770454aa354e5deafe183e0c0bd0
Coolum Beach Surf Lifesaving Club Inc,"
            Registered          ","
            Large          ","
            Coolum Beach          ","
            QLD          ",47530546968,https://www.acnc.gov.au/charity/a4d2cad9377f669af78ae542acf8b7a5
Cronulla Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Cronulla          ","
            NSW          ",92741074881,https://www.acnc.gov.au/charity/2283b33562916775c935f013cf239ac0
Cudgen Headland Surf Life Saving Club Limited,"
            Registered          ","
            Large          ","
            Kingscliff          ","
            NSW          ",89056438530,https://www.acnc.gov.au/charity/f66ec3b1790da531d379855aea9c2bad
Currumbin Beach Junior Surf Lifesaving Club,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",39396798540,https://www.acnc.gov.au/charity/5a88a063e9a329800bdf596b1095a422
Dee Why Surf Lifesaving Club Incorporated,"
            Registered          ","
            Medium          ","
            Dee Why          ","
            NSW          ",39393896380,https://www.acnc.gov.au/charity/3567ee3be465eeb298741fd2c0e8ea13
Dicky Beach Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Dicky Beach          ","
            QLD          ",54619267288,https://www.acnc.gov.au/charity/da3b4ca64880ea227053203b17a3d86b
Dongara Denison Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Dongara          ","
            WA          ",96881276363,https://www.acnc.gov.au/charity/67331f667749ee619c64067bde2d0c82
Elliott Heads Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Elliott Heads          ","
            QLD          ",81423865698,https://www.acnc.gov.au/charity/86057b09c1c894ac5603606303eb315f
Elouera Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Cronulla          ","
            NSW          ",87384377411,https://www.acnc.gov.au/charity/af33d329a9153e7ed8dfda02bae15e08
Beachport Surf Life Saving Club Inc.,"
            Registered          ","
            Information Unavailable          ","
            Beachport          ","
            SA          ",39494420118,https://www.acnc.gov.au/charity/062e69d014789993e1879835f182866f
Bermagui Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Bermagui          ","
            NSW          ",59551411543,https://www.acnc.gov.au/charity/dcc839d6581243d2a1da3481b350c339
Binningup Surf Life Saving Club (incorporated),"
            Registered          ","
            Small          ","
            Australind          ","
            WA          ",73391478164,https://www.acnc.gov.au/charity/018eab03984ea7b1ed2921aeade50f22
Boat Harbour Beach Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Boat Harbour Beach          ","
            TAS          ",13927694487,https://www.acnc.gov.au/charity/bcc81cda94b53531bce13b6533b0a513
Bowen Surf Life Saving Club Inc.,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",57142130662,https://www.acnc.gov.au/charity/46a0eb9879b41b1b95af5906517e9119
Bridport Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Bridport          ","
            TAS          ",94490022961,https://www.acnc.gov.au/charity/8e2c6784412225320ee44d2a0eb54f8d
Bronte Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Bronte          ","
            NSW          ",47683939515,https://www.acnc.gov.au/charity/5f985ab21b86035ed5a6db7ae68622a9
Bulli Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Bulli          ","
            NSW          ",33908694170,https://www.acnc.gov.au/charity/dccc186bc17974a58100841570dad399
Bungan Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Newport          ","
            NSW          ",63391106437,https://www.acnc.gov.au/charity/03125303dca69fa20c147fb87ef15805
Burning Palms Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Casula          ","
            NSW          ",25945774843,https://www.acnc.gov.au/charity/b60789122cae0f0709dd11118eda6759
Cabarita Beach Surf Lifesaving Club Incorporated,"
            Registered          ","
            Medium          ","
            Cabarita Beach          ","
            NSW          ",44811676474,https://www.acnc.gov.au/charity/4e206e737d8d074ef0393bc9cf1df6aa
