company_name,status,size,suburb/town,state,ABN,URL
Smiths Beach Surf Lifesaving Club Inc.,"
            Registered          ","
            Small          ","
            Dunsborough          ","
            WA          ",69608149198,https://www.acnc.gov.au/charity/b56915caa0e76088aefa4e4112c33da1
Somerton Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Somerton Park          ","
            SA          ",85241889464,https://www.acnc.gov.au/charity/682ff2d13a11e8af72f56185dc5e9dae
South Maroubra Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Maroubra          ","
            NSW          ",20186191094,https://www.acnc.gov.au/charity/537f46684c7ad0ce0ed9a269d645ca58
Southport Surf Life Saving Club Inc.,"
            Registered          ","
            Large          ","
            Main Beach          ","
            QLD          ",96957569507,https://www.acnc.gov.au/charity/9dac858b8bcb60b722701e30299bc723
Sunshine Beach Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Sunshine Beach          ","
            QLD          ",86489039083,https://www.acnc.gov.au/charity/b37065075e630f16f18b8bdec93a24d7
Sussex Inlet & District Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Sussex Inlet          ","
            NSW          ",16937816547,https://www.acnc.gov.au/charity/744af18824bce345fb5034310cf392c2
Swansea-Belmont Surf Life Saving Club Limited,"
            Registered          ","
            Medium          ","
            Blacksmiths          ","
            NSW          ",54087305048,https://www.acnc.gov.au/charity/483a0143f62f81248f0166597837ea29
Tannum Sands Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Tannum Sands          ","
            QLD          ",29420390312,https://www.acnc.gov.au/charity/40692ee50f2c890c9bf334662eead8ab
Terrigal Surf Life Saving Club Incorporated,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",80137041492,https://www.acnc.gov.au/charity/fa53d19b9ff4221f8282f5d11391428d
The Port Campbell Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Port Campbell          ","
            VIC          ",24803275680,https://www.acnc.gov.au/charity/56839667bde09d3195813bbb19283058
North Steyne Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Manly          ","
            NSW          ",99734830191,https://www.acnc.gov.au/charity/43aae6547c55e8a6490784f5ce4f7bf4
Nowra Culburra Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Culburra Beach          ","
            NSW          ",99115839023,https://www.acnc.gov.au/charity/a7388a19cc9b8d2db326d6645d533cc0
Ocean Grove Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Ocean Grove          ","
            VIC          ",94392258995,https://www.acnc.gov.au/charity/33ecd7891743b816119793f31c331ff4
Pacific Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Palm Beach          ","
            QLD          ",24204476192,https://www.acnc.gov.au/charity/d1b466c2e7bdb82c9e140f902378cb6a
Palm Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Palm Beach          ","
            NSW          ",38070685763,https://www.acnc.gov.au/charity/147b9cc207b66de60c0ed0eb9f355b77
Pambula Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Pambula Beach          ","
            NSW          ",83872472712,https://www.acnc.gov.au/charity/8af4a7802aafed37d0f2ecbed4bb31bd
Point Leo Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Safety Beach          ","
            VIC          ",83471063765,https://www.acnc.gov.au/charity/e68183795fe2abe382387921d7b08e0f
Point Lookout Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Cleveland          ","
            QLD          ",67892838556,https://www.acnc.gov.au/charity/e3f4718a5434163c0949e0c988b5ac42
Port Elliot Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Port Elliot          ","
            SA          ",44811071674,https://www.acnc.gov.au/charity/b239e1f5fe54bcdabc3de9ff208e6c4b
Port Macquarie Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Port Macquarie          ","
            NSW          ",47032038365,https://www.acnc.gov.au/charity/a8cb9f4814d6a86706a78e1360cd64b6
Port Sorell Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Hawley Beach          ","
            TAS          ",41825973960,https://www.acnc.gov.au/charity/82cd6be83b8eca3647418b78c2da8f6f
Portland Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Portland          ","
            VIC          ",21171389185,https://www.acnc.gov.au/charity/f63e20ef7ba6345306393055c6a58d4c
Quinns Mindarie Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Quinns Rocks          ","
            WA          ",15674140779,https://www.acnc.gov.au/charity/3f4f2543ce86524e6c664c218fe534c8
Robe Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Robe          ","
            SA          ",58165806600,https://www.acnc.gov.au/charity/9a85a192b66aecf50321b2563c2b7838
Sandon Point Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Bulli          ","
            NSW          ",82856599137,https://www.acnc.gov.au/charity/785468bea04ab7c92024b02c556305bc
Scamander Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Scamander          ","
            TAS          ",70209680163,https://www.acnc.gov.au/charity/fe4ac0b941a057121b29da4f45908e26
Scarborough Wombarra Surf Lifesaving Club Inc.,"
            Registered          ","
            Small          ","
            Wombarra          ","
            NSW          ",41120412951,https://www.acnc.gov.au/charity/7d5a962a5c41b2ef9148a59c7124d167
Seaspray Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Seaspray          ","
            VIC          ",99744504944,https://www.acnc.gov.au/charity/6a604bdfb3de362ea5490d2d47b9d479
Semaphore Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Port Adelaide Dc          ","
            SA          ",38803068615,https://www.acnc.gov.au/charity/b6e00ee2fa4fb03dcf343464d85104d4
Shelly Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Shelly Beach          ","
            NSW          ",75682049392,https://www.acnc.gov.au/charity/b3a0525f8f6e6f990aed6a509c5158c0
Soldiers Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Norah Head          ","
            NSW          ",74674215629,https://www.acnc.gov.au/charity/98b4b9664220ef4224f82320b7aa7a7e
Sorrento Surf Life Saving Club (Inc),"
            Registered          ","
            Medium          ","
            Sorrento          ","
            WA          ",70623378747,https://www.acnc.gov.au/charity/d1aac8e2ad30ca89dabc39785084d573
South Port Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",51114459582,https://www.acnc.gov.au/charity/16d58c8f49bc4e167551bf0282101c72
Stockton Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Stockton          ","
            NSW          ",81952288466,https://www.acnc.gov.au/charity/85c127d09e4eefe4a6c856e49707dc7b
Surf Life Saving South Australia Club Foundation,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",38923552206,https://www.acnc.gov.au/charity/59e58e098b136474b7c1e90dae2d95f2
Swanbourne Nedlands Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Swanbourne          ","
            WA          ",93949145477,https://www.acnc.gov.au/charity/6a781db93c6aab476e70300dfa7089dc
Tacking Point Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Port Macquarie          ","
            NSW          ",89023565419,https://www.acnc.gov.au/charity/33fbe3fafc0f77eacc7a1b786c0c7087
Tathra Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Tathra          ","
            NSW          ",83772324079,https://www.acnc.gov.au/charity/5fa8899b5b7d382e705b2122ea3e497c
The Lakes Surf Life Saving Club Limited,"
            Registered          ","
            Small          ","
            Budgewoi          ","
            NSW          ",50056615377,https://www.acnc.gov.au/charity/cfac1913d7735f97a396de6630f2c5a3
The Trustee For Anglesea Surf Lifesaving Club Foundation,"
            Registered          ","
            Small          ","
            Anglesea          ","
            VIC          ",14944812708,https://www.acnc.gov.au/charity/5488f25c4229f9e22c554eefe0c28475
The Trustee for The Bronte Surf Life Saving Club Foundation,"
            Registered          ","
            Information Unavailable          ","
            Queens Park          ","
            NSW          ",99547127951,https://www.acnc.gov.au/charity/f2effce6dc5fa69501e194d7112cda6f
Torquay Surf Life Saving Club Foundation Inc,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",48353684979,https://www.acnc.gov.au/charity/37268b054abfd54e9f72856c41038df7
Towradgi Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Towradgi          ","
            NSW          ",24522940258,https://www.acnc.gov.au/charity/5c88ee1e50726f3f228a43461806b8be
Tugun Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Tugun          ","
            QLD          ",23531283216,https://www.acnc.gov.au/charity/bcb0f01b4a72e2ea94dae96d7134b176
Umina Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Umina Beach          ","
            NSW          ",51540929739,https://www.acnc.gov.au/charity/2d8df558c9aec5978517f06f2447fa7a
Walngawu Djakamirri Surf Life Saving Club Incorporated,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",59615953239,https://www.acnc.gov.au/charity/ab51532e5306175b997baafd91a7e798
Wanda Surf Life Saving Club Incorporated,"
            Registered          ","
            Large          ","
            Cronulla          ","
            NSW          ",60850705106,https://www.acnc.gov.au/charity/86d89bc30b5be892b8bca23e12d65ff5
Warriewood Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Warriewood          ","
            NSW          ",95461578195,https://www.acnc.gov.au/charity/5fcb988aae9e9de73e422ed14cbf9f93
West Beach Surf Lifesaving Club Incorporated,"
            Registered          ","
            Large          ","
            West Beach          ","
            SA          ",90162377327,https://www.acnc.gov.au/charity/393fafc710c29637e2e216cbe0453d21
Wollongong City Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Wollongong          ","
            NSW          ",17794015745,https://www.acnc.gov.au/charity/16d7f697e437884bec21987a89700d21
Woolamai Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Cape Woolamai          ","
            VIC          ",32949554248,https://www.acnc.gov.au/charity/39b266782c83303f73beba5ebb781fc6
Woonona Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Woonona          ","
            NSW          ",12586856905,https://www.acnc.gov.au/charity/73db08affa20110394ba71ea2dd42068
Currumbin Beach Vikings Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Currumbin          ","
            QLD          ",66528332039,https://www.acnc.gov.au/charity/9b6be1491a1eb9979d2bec2c8c4cba50
"KIRRA SURF LIFE SAVING CLUB INC AS THE OPERATOR OF A PBI
","
            Registered          ","
            Information Unavailable          ","
            Kirra          ","
            QLD          ",50693290606,https://www.acnc.gov.au/charity/7646a7300f61009988c01666138a89f4
TWEED HEADS AND COOLANGATTA SURF LIFE SAVING CLUB INCORPORATED,"
            Registered          ","
            Medium          ","
            Coolangatta          ","
            QLD          ",59962048592,https://www.acnc.gov.au/charity/3feb0da4e8daf075f5a58ffade0aaaf8
Catherine Hill Bay Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Catherine Hill Bay          ","
            NSW          ",37352006891,https://www.acnc.gov.au/charity/005c2b20e567cdfa672dc8b44a25dfa6
Golden Beach Surf Life Saving Club Victoria Incorporated,"
            Registered          ","
            Small          ","
            Golden Beach          ","
            VIC          ",47839278561,https://www.acnc.gov.au/charity/1389565ebe9dc21c5d3d462bbc6b37a0
Lorne Surf Life Saving Club Inc (Reg. No. A0007451U),"
            Registered          ","
            Large          ","
            Lorne          ","
            VIC          ",38826799374,https://www.acnc.gov.au/charity/55eb00789302570eeee236151d5ea5c2
Mermaid Beach AEME Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Mermaid Beach          ","
            QLD          ",86206436082,https://www.acnc.gov.au/charity/469a6e4c25afe10d85d3a7b65cc0cded
North Avoca Surf Life Saving Club Inc Fund Raising,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",63889505437,https://www.acnc.gov.au/charity/42122f3e531e5e6e169b0fd3e523cba1
Port Fairy Surf Lifesaving Club Inc A1412Z,"
            Registered          ","
            Medium          ","
            Port Fairy          ","
            VIC          ",14565507323,https://www.acnc.gov.au/charity/7c8c70f689016b2b8b734c4b49af6b3a
South Curl Curl Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Curl Curl          ","
            NSW          ",88589451919,https://www.acnc.gov.au/charity/b99a3984524e3545a727e1a15c3141ad
Taree Old Bar Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Old Bar          ","
            NSW          ",50480256421,https://www.acnc.gov.au/charity/310c31abb8e9a4a9bbfa2311131bee88
The Trustee For The Harry Moore Soldiers Beach Surf Lifesaving Club Junior Trust,"
            Registered          ","
            Small          ","
            Toukley          ","
            NSW          ",51199883597,https://www.acnc.gov.au/charity/5fbabb61dff4beebed9b37ecb7705601
Umina Surf Life Saving Club Inc Activities Account,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",82419215169,https://www.acnc.gov.au/charity/42a733d1b6e6ca176fdb6eb0b697faba
Whale Beach Property Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Avalon Beach          ","
            NSW          ",42042068751,https://www.acnc.gov.au/charity/ef09f1312ad49f37161caff91cc565a9
Broulee Surfers Surf Lifesaving Clubinc,"
            Registered          ","
            Small          ","
            Broulee          ","
            NSW          ",62456466445,https://www.acnc.gov.au/charity/6351069c37d7af595cd7a1ca71cc1882
Terrigal Surf Life Saving Clubincorporated,"
            Registered          ","
            Medium          ","
            Terrigal          ","
            NSW          ",87253066398,https://www.acnc.gov.au/charity/1334455b396804b7469c2541deea9731
Narrabeen Beach Surflifesaving Club Inc,"
            Registered          ","
            Small          ","
            Narrabeen          ","
            NSW          ",90827832504,https://www.acnc.gov.au/charity/89969e0c0f178445802d4ccda8aaf37f
Burleigh Heads Mowbray Park Slsc Inc,"
            Registered          ","
            Large          ","
            Burleigh Heads          ","
            QLD          ",30933975671,https://www.acnc.gov.au/charity/0de72e2a447e37fb4fcaa558335275f4
Thirroul Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Thirroul          ","
            NSW          ",82153254056,https://www.acnc.gov.au/charity/b9d22077c848cfe25e9206a0b00f71ce
Townsville Picnic Bay Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Townsville          ","
            QLD          ",65025300369,https://www.acnc.gov.au/charity/447754a5d746105b38f3cfb1fe0ebc27
Trigg Island Surf Life Saving Club (Inc),"
            Registered          ","
            Medium          ","
            Trigg          ","
            WA          ",46420647859,https://www.acnc.gov.au/charity/f92eb545b703fcba603911291bc76010
Ulverstone Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Ulverstone          ","
            TAS          ",88648517643,https://www.acnc.gov.au/charity/173a7db98c819e6102dc0e86d5d7e4b4
Venus Bay Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Bentleigh          ","
            VIC          ",27956542350,https://www.acnc.gov.au/charity/f4200d0606fdb8244fa3a3a74b8c4bc3
Wamberal Surf Life Saving Club (Inc),"
            Registered          ","
            Medium          ","
            Wamberal          ","
            NSW          ",41162438813,https://www.acnc.gov.au/charity/f4425111f304be3f0683d0423878638b
Waratah Beach Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Sandy Point          ","
            VIC          ",16531142806,https://www.acnc.gov.au/charity/d3e70f641d82766927f4c026b5d0b4dd
Warrnambool Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Warrnambool          ","
            VIC          ",37766767683,https://www.acnc.gov.au/charity/2148004b65061084468fabd9b6649512
Windang Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",97839491308,https://www.acnc.gov.au/charity/9f76e6f61597e9ca51f62ad9728a408c
Woodside Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Woodside Beach          ","
            VIC          ",31866225413,https://www.acnc.gov.au/charity/80305d9521e9ed3f53847cdbe57a23d1
Woolgoolga Surf Life Saving Club Inc.,"
            Registered          ","
            Large          ","
            Woolgoolga          ","
            NSW          ",11434864088,https://www.acnc.gov.au/charity/4bf5ec1e54cbb2a2a45171cfb1a56c55
Yamba Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Yamba          ","
            NSW          ",15327568072,https://www.acnc.gov.au/charity/776f94ab7c3df382e42e2f79401351f0
Kempsey Crescent Head Surf Life Saving Club Inc Senior,"
            Registered          ","
            Small          ","
            Crescent Head          ","
            NSW          ",81699434179,https://www.acnc.gov.au/charity/1f5ad5794bfc3eb736d72678ae185593
THE TRUSTEE FOR SURF LIFE SAVING SOUTH AUSTRALIA CLUB FOUNDATION,"
            Registered          ","
            Medium          ","
            West Beach          ","
            SA          ",69209331324,https://www.acnc.gov.au/charity/21652f25a302744169ce4c91f1fbd940
Ballina Lighthouse And Lismore Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            East Ballina          ","
            NSW          ",64923973436,https://www.acnc.gov.au/charity/b740e925fdc3c79dc586882b0561a3a0
Coolangatta Surf Lifesaving Club Past Members Association Inc,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",29960539195,https://www.acnc.gov.au/charity/2ee38674ecf621457ce39d6db80b2730
Lennox Head/Alstonville Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Lennox Head          ","
            NSW          ",31083456700,https://www.acnc.gov.au/charity/a35e47e061c2e6b4caee2345e4e5c471
Macksville Scotts Head Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Scotts Head          ","
            NSW          ",31637315870,https://www.acnc.gov.au/charity/22cf6f9b477c69d8f490d986ec7cccd6
Minnie Water Wooli Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Grafton          ","
            NSW          ",16293381983,https://www.acnc.gov.au/charity/a2b4f0a84b9c69482724da8b08061c92
North Palm Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Palm Beach          ","
            NSW          ",59187371628,https://www.acnc.gov.au/charity/7769f55ffa68aa7e864d4d11084a9531
Red Rock Corindi Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Corindi Beach          ","
            NSW          ",40924358532,https://www.acnc.gov.au/charity/79a46bd028655a91d0c6a6f30c8a24a3
South West Rocks Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            South West Rocks          ","
            NSW          ",43527538956,https://www.acnc.gov.au/charity/ed6605d2ac6ca28fe36b4db8840c147a
Tea Gardens Hawks Nest Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Hawks Nest          ","
            NSW          ",58993838971,https://www.acnc.gov.au/charity/066566a4f0c556d6bd04261f8c54658b
Torquay Surf Lifesaving Club Trust (Jack Harris Memorial),"
            Registered          ","
            Small          ","
            Jan Juc          ","
            VIC          ",63314735506,https://www.acnc.gov.au/charity/87a0975bc3627be6f7acafe5af764d05
Warilla Barrack Point Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Warilla          ","
            NSW          ",93459108513,https://www.acnc.gov.au/charity/e3396673b9915bf7bebb04e2ac7bd34b
Whyalla Surf Life Saving Clubincorporated,"
            Registered          ","
            Small          ","
            Whyalla          ","
            SA          ",61860658309,https://www.acnc.gov.au/charity/bd8d7e91ba70c3aed41361688774ae29
Collaroy Surf Life Saving Clubincorporated,"
            Registered          ","
            Medium          ","
            Collaroy Beach          ","
            NSW          ",66023772886,https://www.acnc.gov.au/charity/dcd1d75e805016d58949504329b9e01e
South Narrabeen Surf Life Saving Clubincorporated,"
            Registered          ","
            Small          ","
            Narrabeen          ","
            NSW          ",90853268642,https://www.acnc.gov.au/charity/f0b9e8304492633ad8a745fe787c5482
King's Men Christian Motorcycle Club,"
            Registered          ","
            Information Unavailable          ","
            Surfers Paradise          ","
            QLD          ",53961841800,https://www.acnc.gov.au/charity/6ea4fee9b5e3aadf24fa44b341ff7f3d
